subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Trump,2/18/2020,R,80.68888,6.220437,12:40:10  1 Apr 2020
Trump,2/18/2020,D,22.47664,48.79511,12:38:41  1 Apr 2020
Trump,2/17/2020,I,41.18317,23.88815,12:39:23  1 Apr 2020
Trump,2/17/2020,R,80.25716,5.434522,12:40:11  1 Apr 2020
Trump,2/17/2020,all,46.58178,26.59912,12:41:04  1 Apr 2020
Trump,2/17/2020,D,26.89465,45.03492,12:38:41  1 Apr 2020
Trump,2/16/2020,all,46.58178,26.59912,12:41:05  1 Apr 2020
Trump,2/16/2020,D,26.89465,45.03492,12:38:42  1 Apr 2020
Trump,2/16/2020,I,41.18317,23.88815,12:39:23  1 Apr 2020
Trump,2/16/2020,R,80.25716,5.434522,12:40:11  1 Apr 2020
Trump,2/15/2020,D,26.89465,45.03492,12:38:42  1 Apr 2020
Trump,2/15/2020,R,80.25716,5.434522,12:40:11  1 Apr 2020
Trump,2/15/2020,I,41.18317,23.88815,12:39:23  1 Apr 2020
Trump,2/15/2020,all,46.58178,26.59912,12:41:05  1 Apr 2020
